Address,Point,Name,Value,Time
32,0,Pulse #1,,2019-07-19 22:38:44
32,1,Pulse #1 Rate,,2019-07-19 22:38:44
32,2,Pulse #1 Instantaneous,,2019-07-19 22:38:44
32,3,Pulse #1 Min,,2019-07-19 22:38:44
32,4,Pulse #1 Max,,2019-07-19 22:38:44
32,5,Pulse #2,,2019-07-19 22:38:44
32,6,Pulse #2 Rate,,2019-07-19 22:38:44
32,7,Pulse #2 Instantaneous,,2019-07-19 22:38:44
32,8,Pulse #2 Min,,2019-07-19 22:38:44
32,9,Pulse #2 Max,,2019-07-19 22:38:44
32,0,Pulse #1,0.0,2019-07-19 22:39:37
32,1,Pulse #1 Rate,,2019-07-19 22:39:37
32,2,Pulse #1 Instantaneous,,2019-07-19 22:39:37
32,3,Pulse #1 Min,,2019-07-19 22:39:37
32,4,Pulse #1 Max,,2019-07-19 22:39:37
32,5,Pulse #2,0.0,2019-07-19 22:39:37
32,6,Pulse #2 Rate,,2019-07-19 22:39:37
32,7,Pulse #2 Instantaneous,,2019-07-19 22:39:37
32,8,Pulse #2 Min,,2019-07-19 22:39:37
32,9,Pulse #2 Max,,2019-07-19 22:39:37
32,0,Pulse #1,0.0,2019-07-19 22:51:04
32,1,Pulse #1 Rate,0.0,2019-07-19 22:51:04
32,2,Pulse #1 Instantaneous,0.0,2019-07-19 22:51:04
32,3,Pulse #1 Min,0.0,2019-07-19 22:51:04
32,4,Pulse #1 Max,0.0,2019-07-19 22:51:04
32,5,Pulse #2,0.0,2019-07-19 22:51:04
32,6,Pulse #2 Rate,0.0,2019-07-19 22:51:04
32,7,Pulse #2 Instantaneous,0.0,2019-07-19 22:51:04
32,8,Pulse #2 Min,0.0,2019-07-19 22:51:04
32,9,Pulse #2 Max,0.0,2019-07-19 22:51:04
32,0,Pulse #1,0.0,2019-07-19 22:56:41
32,1,Pulse #1 Rate,0.0,2019-07-19 22:56:41
32,2,Pulse #1 Instantaneous,0.0,2019-07-19 22:56:41
32,3,Pulse #1 Min,0.0,2019-07-19 22:56:41
32,4,Pulse #1 Max,0.0,2019-07-19 22:56:41
32,5,Pulse #2,0.0,2019-07-19 22:56:41
32,6,Pulse #2 Rate,0.0,2019-07-19 22:56:41
32,7,Pulse #2 Instantaneous,0.0,2019-07-19 22:56:41
32,8,Pulse #2 Min,0.0,2019-07-19 22:56:41
32,9,Pulse #2 Max,0.0,2019-07-19 22:56:41
32,0,Pulse #1,0.0,2019-07-19 23:00:23
32,1,Pulse #1 Rate,0.0,2019-07-19 23:00:23
32,2,Pulse #1 Instantaneous,0.0,2019-07-19 23:00:23
32,3,Pulse #1 Min,0.0,2019-07-19 23:00:23
32,4,Pulse #1 Max,0.0,2019-07-19 23:00:23
32,5,Pulse #2,0.0,2019-07-19 23:00:23
32,6,Pulse #2 Rate,0.0,2019-07-19 23:00:23
32,7,Pulse #2 Instantaneous,0.0,2019-07-19 23:00:23
32,8,Pulse #2 Min,0.0,2019-07-19 23:00:23
32,9,Pulse #2 Max,0.0,2019-07-19 23:00:23
32,0,Pulse #1,0.0,2019-07-19 23:05:24
32,1,Pulse #1 Rate,0.0,2019-07-19 23:05:24
32,2,Pulse #1 Instantaneous,0.0,2019-07-19 23:05:24
32,3,Pulse #1 Min,0.0,2019-07-19 23:05:24
32,4,Pulse #1 Max,0.0,2019-07-19 23:05:24
32,5,Pulse #2,0.0,2019-07-19 23:05:24
32,6,Pulse #2 Rate,0.0,2019-07-19 23:05:24
32,7,Pulse #2 Instantaneous,0.0,2019-07-19 23:05:24
32,8,Pulse #2 Min,0.0,2019-07-19 23:05:24
32,9,Pulse #2 Max,0.0,2019-07-19 23:05:24
32,0,Pulse #1,0.0,2019-07-19 23:10:19
32,1,Pulse #1 Rate,0.0,2019-07-19 23:10:19
32,2,Pulse #1 Instantaneous,0.0,2019-07-19 23:10:19
32,3,Pulse #1 Min,0.0,2019-07-19 23:10:19
32,4,Pulse #1 Max,0.0,2019-07-19 23:10:19
32,5,Pulse #2,0.0,2019-07-19 23:10:19
32,6,Pulse #2 Rate,0.0,2019-07-19 23:10:19
